Id,SalePrice
2658,147173.14531447922
2718,205118.45106267286
2414,181139.15482383323
1989,123523.3511620307
625,179813.95477422705
333,105784.21439467253
1327,112681.46111184632
858,148800.04928961143
95,194232.90033259505
1568,150095.54721728835
2482,175476.13811591812
1364,135210.14853873441
2584,161781.00440534434
818,280380.0395826685
2673,154065.6356753155
2089,117109.9449709359
1297,159402.50836524495
790,126329.097843317
2616,172349.53505918957
720,202488.6213859856
222,140768.66940154706
557,129297.48489153711
1148,218365.70720173325
2766,135957.91069831097
534,197766.63104608076
1452,116391.29613693303
630,130756.4072710301
2648,153789.82560880698
125,153172.49329604578
1904,81052.76719007257
1670,114440.41302109387
756,118730.36313176263
717,258002.32780996535
1032,154907.1526624641
852,225348.3712622415
1731,171998.5591167205
2639,116848.59684321907
2071,96170.01673113402
1267,109556.96177429648
1851,204108.39379749072
567,154536.11062727758
2439,221134.9913829421
1898,160450.89925204188
647,141345.34623865664
2256,226298.61797527916
979,101106.39884292053
1444,211502.5557808907
2485,121032.07406793232
157,130306.59316839043
88,127900.10076460586
2003,126661.3780673442
186,195307.9045308213
1425,266644.6026732604
2695,142946.98207359132
738,122317.83659107266
395,149685.72779890898
1353,172004.2851473544
1878,137300.69330352187
390,155114.76993691077
1456,230954.48733179097
1103,315432.2279166536
1387,132733.08413878048
2070,131084.9553900357
1199,181842.22157263433
2479,182232.2578651886
501,321535.03406915435
2362,97964.59202351773
1718,195076.0791640443
2188,99641.83782749738
1483,144700.17349578755
2557,104059.48015358689
437,353153.6638499844
2224,179652.87944851257
1628,163307.5299645092
397,139239.43013105943
587,194684.7799826652
2182,755945.5676269843
971,128567.93367945678
2611,151000.75195876954
1887,101175.40054823864
2399,356232.29540467705
2148,218646.60968481068
304,127955.89141638628
1997,137011.52145327145
2817,131736.67290937534
1431,172249.97604198178
427,417788.7287080713
263,119681.00550678598
598,162204.5655355722
2895,233443.4750709813
687,150339.27814872388
1822,133466.65804047382
2191,113780.18312876554
179,133539.2131586164
1009,205675.7588772086
2010,127312.62814619727
1991,149860.40015141037
1411,159689.39236425117
1721,245410.46615697868
1144,193269.5317108979
593,214562.4171556309
575,285186.21920644294
1249,171077.85458106955
1604,116269.5076519998
1064,494303.7886974182
1923,151839.98525585423
1988,107671.57849772736
2325,165409.82066169585
114,192314.17033535987
2700,200790.38492700848
217,134179.26175524312
343,170644.5903872629
386,244794.16935488975
2005,104683.88480647966
2908,130831.79378962908
1814,218426.771669486
2446,507622.11622804624
208,156460.5322052094
1679,124258.78964307971
822,344651.51825999166
6,180605.97889951203
1781,420062.0207762944
2397,277170.17525774153
2340,304402.3932036869
1618,159691.7545610252
2843,138054.146205129
1061,372610.3019096903
2786,123821.79739676011
1935,133237.62795794892
1341,121910.740743528
521,275738.0616476159
2136,129727.08886148914
996,174114.36512951058
227,139730.38188894553
135,147092.977516099
1167,152883.8095767538
294,224682.82135496158
1776,205147.96785134953
540,182895.79383994636
1717,195076.0791640443
2303,122392.66728635822
116,173025.42740462712
127,135020.32544961333
1371,142356.3538537955
1014,172772.21123305542
1507,114093.72509862481
702,157805.705697167
750,170623.22957042968
261,154415.02803195204
1559,97043.49227144694
577,236676.76593939832
2812,206122.63754818516
2080,166626.60892425815
1368,124355.51147582206
2376,120423.65774220682
659,124867.53713210116
1235,126629.38093903137
332,104284.37793878664
1917,135736.4025799836
2094,265352.9261554176
1460,279279.6303606821
1471,208319.4779369856
1509,127257.22179655684
1922,124685.53343763092
433,518972.6930015609
460,279804.67743930354
1116,244256.11218450865
1137,167030.60968631128
53,191175.20016170005
2354,248723.96956075737
1475,208109.07407840595
1761,650540.0109804309
842,138910.63434493655
2739,182181.0892798417
2509,159916.04893007752
1007,208371.89619011682
2610,174126.1420228139
1952,116629.05758067561
2719,191353.94413606706
2921,106618.8606129666
1966,143570.43614247575
292,129531.99635089209
1204,187647.72573442382
1829,224994.6803101082
2419,193142.129764575
391,159510.8423351343
798,126605.88185100438
481,194215.92309872937
193,204364.95879515517
555,126333.61314745755
899,77994.67975945561
2357,176790.66035038946
328,134428.6055529904
1356,125022.10768911641
1154,118951.64852240175
1730,181744.56399886514
2249,141208.08148068102
1119,251636.22886893403
2856,127503.78442400353
1394,130059.5482835295
2587,122178.0646469018
61,352961.3578764943
2661,198546.7647214038
2711,125198.2122770783
1147,190777.47939315496
757,146646.11107785007
2623,89832.09844807714
2378,158419.1846899176
1413,132281.4208593865
1722,219928.93249163276
1112,217030.77259931935
1623,176117.88860074285
1201,183813.62190216852
1513,123908.69825230516
957,252339.08628892602
1171,258398.954382388
1145,204495.52688181473
2726,223485.19265817906
703,141784.26451166766
760,106139.03173438416
1964,143884.71957972876
2512,175795.30908889405
159,141576.42336970515
1281,162365.50559123972
468,177185.20399542918
290,122686.7625189281
665,124100.64800529803
1463,272793.4117004669
1792,225103.08973884874
923,143180.6111305313
500,274347.0450587078
1408,130552.67592950605
331,100750.07398245968
170,125312.02807169483
2192,104128.57283733264
2571,301277.9291301578
2314,156868.07354475526
2647,112760.14145863289
422,438180.68088586314
2457,395256.2685034915
1838,218310.63067023078
2805,248237.7561707674
1645,161303.31643408036
1711,312875.74064304976
2825,271414.43021211016
322,399179.79557472304
2103,270702.9407306705
342,123676.74663189806
600,114931.2618167349
488,186238.61544116272
1725,342123.5756749385
2246,245491.16243118726
2847,150197.9681904651
806,246280.8636654286
530,237497.37649404097
963,184657.37035543582
2678,114042.80367284549
171,103476.84407996415
2401,438239.2182587307
